代碼,名稱,策略總報酬%,買進持有%,策略年化%,買進持有年化%,夏普值,勝率%,交易天數
2330.TW,台積電,109.0%,104.4%,71.9%,69.1%,1.85,52.5%,297
2454.TW,聯發科,190.8%,203.1%,119.1%,125.8%,1.82,50.8%,295
2308.TW,台達電,458.4%,435.0%,253.8%,242.9%,2.78,54.1%,314
2317.TW,鴻海,-4.5%,47.7%,-3.3%,33.2%,-0.01,51.4%,72
3711.TW,日月光投控,238.0%,237.0%,144.7%,144.1%,2.03,51.8%,307
2383.TW,台光電,267.8%,707.2%,160.4%,363.8%,2.28,53.3%,182
3037.TW,欣興,64.7%,490.7%,44.3%,268.7%,1.20,55.6%,108
2345.TW,智邦,233.9%,209.6%,142.5%,129.4%,1.89,54.3%,258
2881.TW,富邦金,41.3%,43.6%,28.9%,30.5%,1.10,53.1%,307
2382.TW,廣達,54.5%,35.6%,37.7%,25.1%,1.02,51.5%,301
2882.TW,國泰金,53.3%,53.1%,36.9%,36.7%,1.19,55.7%,305
3017.TW,奇鋐,330.5%,279.7%,192.3%,166.5%,2.19,52.7%,317
2412.TW,中華電,7.3%,21.1%,5.3%,15.1%,0.65,53.5%,86
2891.TW,中信金,78.8%,82.7%,53.3%,55.7%,1.76,54.8%,305
2303.TW,聯電,47.8%,190.7%,33.2%,119.0%,1.51,52.9%,85
2360.TW,致茂,552.2%,523.5%,296.6%,283.7%,2.65,56.2%,315
7769.TW,鴻華先進,604.3%,503.2%,319.6%,274.5%,2.54,57.6%,309
