代碼,名稱,訊號,買進機率,收盤價
2330.TW,台積電,買進 ▲,51.0%,2255.00
2454.TW,聯發科,買進 ▲,53.5%,4155.00
2308.TW,台達電,買進 ▲,52.5%,2200.00
2317.TW,鴻海,賣出 ✕,49.9%,263.00
3711.TW,日月光投控,買進 ▲,53.5%,539.00
2383.TW,台光電,賣出 ✕,46.9%,4940.00
3037.TW,欣興,賣出 ✕,49.9%,884.00
2345.TW,智邦,賣出 ✕,38.0%,2365.00
2881.TW,富邦金,買進 ▲,53.6%,122.50
2382.TW,廣達,買進 ▲,53.3%,380.50
2882.TW,國泰金,買進 ▲,51.0%,99.90
3017.TW,奇鋐,買進 ▲,57.3%,2360.00
2412.TW,中華電,賣出 ✕,46.4%,144.00
2891.TW,中信金,買進 ▲,55.4%,68.20
2303.TW,聯電,賣出 ✕,45.7%,118.50
2360.TW,致茂,買進 ▲,51.9%,2210.00
7769.TW,鴻華先進,買進 ▲,63.5%,6840.00
